Case Number,Law Enforcement Case Number,Date of Crash,Y-Coordinate (UTM NAD 83 Zone 15),X-Coordinate (UTM NAD 83 Zone 15),Time,Day of Week,County,Road System,Route,Cardinal Direction of Vehicles,Mainline or Ramp,Overpass/Underpass Information,Derived Literal Description,Road Classification,Intersection Class,Crash Severity,Amount of Property Damage,Major Cause,Drug or Alcohol Related,Driver Age,Driver Age - 5 year Bins,Driver Gender
20191111805,05-19-079,20190505,4742969,241042,01:56,Sunday,Plymouth,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,2ND ST NW & 2ND ST NE & CENTRAL AVE,Municipal Road,Municipal - Municipal,Property Damage Only,3500,Other,Alcohol (Statutory),28,>= 25 and <= 29,Male
20191111805,05-19-079,20190505,4742969,241042,01:56,Sunday,Plymouth,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,2ND ST NW & 2ND ST NE & CENTRAL AVE,Municipal Road,Municipal - Municipal,Property Damage Only,3500,Other,Alcohol (Statutory),200,,Not reported
20191111914,2019-35632,20190505,4599933,699210,00:48,Sunday,Scott,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,NEWBERRY ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,8500,Operating vehicle in an reckless, erratic, careless, negligent manner,Under Influence of Alcohol/Drugs/Medications,59,>= 55 and <= 59,Male
20191111914,2019-35632,20190505,4599933,699210,00:48,Sunday,Scott,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,NEWBERRY ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,8500,Operating vehicle in an reckless, erratic, careless, negligent manner,Under Influence of Alcohol/Drugs/Medications,200,,Not reported
20191111914,2019-35632,20190505,4599933,699210,00:48,Sunday,Scott,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,NEWBERRY ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,8500,Operating vehicle in an reckless, erratic, careless, negligent manner,Under Influence of Alcohol/Drugs/Medications,200,,Not reported
20191111924,20190013393,20190506,4604832,445335,18:41,Monday,Polk,Interstate,235,Ramp,Ramp,Not reported,I-235,Interstate,Not Indicated as an Intersection,Property Damage Only,10000,Exceeded authorized speed,Under Influence of Alcohol/Drugs/Medications,37,>= 35 and <= 39,Male
20191111934,19-13077,20190505,4615126,493613,17:38,Sunday,Jasper,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,W 18TH ST S,Municipal Road,Not Indicated as an Intersection,Property Damage Only,2000,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),200,,Not reported
20191111934,19-13077,20190505,4615126,493613,17:38,Sunday,Jasper,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,W 18TH ST S,Municipal Road,Not Indicated as an Intersection,Property Damage Only,2000,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),39,>= 35 and <= 39,Male
20191112105,19026353,20190404,4702815,548012,18:35,Thursday,Black Hawk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,BLACK HAWK RD & CEDAR HEIGHTS DR,Municipal Road,Municipal - Municipal,Property Damage Only,3000,Other,Alcohol (Statutory),77,>= 75 and <= 79,Male
20191112105,19026353,20190404,4702815,548012,18:35,Thursday,Black Hawk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,BLACK HAWK RD & CEDAR HEIGHTS DR,Municipal Road,Municipal - Municipal,Property Damage Only,3000,Other,Alcohol (Statutory),66,>= 65 and <= 69,Male
20191112220,20191038,20190505,4641679,630235,06:00,Sunday,Linn,US Route,30,Eastbound (EB),Mainline,Not reported,US 30,US Route,US Route - US Route,Property Damage Only,51093,Driving too fast for conditions,Alcohol (Statutory),19,= 19,Male
20191112220,20191038,20190505,4641679,630235,06:00,Sunday,Linn,US Route,30,Eastbound (EB),Mainline,Not reported,US 30,US Route,US Route - US Route,Property Damage Only,51093,Driving too fast for conditions,Alcohol (Statutory),200,,Not reported
20191112220,20191038,20190505,4641679,630235,06:00,Sunday,Linn,US Route,30,Eastbound (EB),Mainline,Not reported,US 30,US Route,US Route - US Route,Property Damage Only,51093,Driving too fast for conditions,Alcohol (Statutory),200,,Not reported
20191112249,19-11789,20190504,4601435,709893,18:49,Saturday,Scott,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,FAWN LN & DEVILS GLEN RD,Municipal Road,Municipal - Municipal,Possible/Unknown Injury Crash,22000,Ran off road - right,Alcohol (Statutory),68,>= 65 and <= 69,Not reported
20191112249,19-11789,20190504,4601435,709893,18:49,Saturday,Scott,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,FAWN LN & DEVILS GLEN RD,Municipal Road,Municipal - Municipal,Possible/Unknown Injury Crash,22000,Ran off road - right,Alcohol (Statutory),200,,Not reported
20191112249,19-11789,20190504,4601435,709893,18:49,Saturday,Scott,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,FAWN LN & DEVILS GLEN RD,Municipal Road,Municipal - Municipal,Possible/Unknown Injury Crash,22000,Ran off road - right,Alcohol (Statutory),200,,Not reported
20191112276,19-3366,20190508,4631584,456720,19:14,Wednesday,Polk,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,Co Rd R70/NE 150TH AVE/NE 46TH ST,Secondary Road,Secondary - Secondary,Possible/Unknown Injury Crash,8500,Ran stop sign,Alcohol (Statutory),46,>= 45 and <= 49,Female
20191112304,19003816,20190508,4710216,591023,01:04,Wednesday,Buchanan,Iowa Route,150,Northbound (NB),Mainline,Not reported,IA 150/JAMESTOWN AVE,Iowa Route,Not Indicated as an Intersection,Possible/Unknown Injury Crash,2000,Driving too fast for conditions,Alcohol (Statutory),42,>= 40 and <= 44,Male
20191112328,19011324,20190509,4654522,614205,01:59,Thursday,Linn,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,LINDALE DR,Municipal Road,Not Indicated as an Intersection,Property Damage Only,11000,Ran off road - straight,Alcohol (Statutory),20,= 20,Male
20191112368,05-19-135,20190508,4742157,241010,18:41,Wednesday,Plymouth,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,4TH ST SW & 4TH ST SE & CENTRAL AVE,Municipal Road,Municipal - Municipal,Property Damage Only,11000,Made improper turn,Alcohol (Statutory),63,>= 60 and <= 64,Female
20191112368,05-19-135,20190508,4742157,241010,18:41,Wednesday,Plymouth,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,4TH ST SW & 4TH ST SE & CENTRAL AVE,Municipal Road,Municipal - Municipal,Property Damage Only,11000,Made improper turn,Alcohol (Statutory),53,>= 50 and <= 54,Female
20191112371,19-004191,20190430,4681013,488426,22:40,Tuesday,Hardin,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,Co Rd D55/CO HWY D55,Secondary Road,Not Indicated as an Intersection,Possible/Unknown Injury Crash,15000,Ran off road - left,Alcohol (Statutory),21,>= 21 and <= 24,Male
20191112500,2019-002804,20190419,4709765,693449,05:27,Friday,Dubuque,US Route,61,Ramp,Ramp,Not reported,US 61/NE RAMP CURV,US Route,Not Indicated as an Intersection,Suspected Minor Injury Crash,10000,Ran off road - left,Alcohol (Statutory),29,>= 25 and <= 29,Male
20191112527,201900005451,20190509,4607415,425731,07:15,Thursday,Dallas,US Route,6,Westbound (WB),Mainline,Not reported,US 6/HICKMAN AVE & ASHWORTH DR & 10TH ST,US Route,US Route - Municipal,Property Damage Only,1500,Made improper turn,Alcohol (Statutory),20,= 20,Male
20191112527,201900005451,20190509,4607415,425731,07:15,Thursday,Dallas,US Route,6,Westbound (WB),Mainline,Not reported,US 6/HICKMAN AVE & ASHWORTH DR & 10TH ST,US Route,US Route - Municipal,Property Damage Only,1500,Made improper turn,Alcohol (Statutory),61,>= 60 and <= 64,Male
20191112551,19002845,20190503,4783816,267401,21:16,Friday,O'Brien,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,Co Rd B20/330TH ST & W 16TH ST & WESTERN AVE,Secondary Road,Secondary - Municipal,Property Damage Only,11000,Ran off road - straight,Refused,29,>= 25 and <= 29,Male
20191112575,20190013761,20190510,4599601,447901,03:54,Friday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,LEACH AVE,Municipal Road,Not Indicated as an Intersection,Suspected Minor Injury Crash,11000,Exceeded authorized speed,Under Influence of Alcohol/Drugs/Medications,27,>= 25 and <= 29,Male
20191112585,2019011323,20190426,4778453,334660,23:44,Friday,Clay,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,280TH AVE,Secondary Road,Not Indicated as an Intersection,Fatal Crash,12250,Exceeded authorized speed,Alcohol (Statutory),19,= 19,Male
20191112604,19-009331,20190511,4566117,255184,04:18,Saturday,Pottawattamie,US Route,275,No Travel Direction Consistent with Route,Mainline,Not reported,US 275/VETERANS MEMORIAL HWY,US Route,Not Indicated as an Intersection,Property Damage Only,1500,Ran off road - right,Alcohol (Statutory),19,= 19,Not reported
20191112614,2019-37315,20190510,4605390,702620,03:10,Friday,Scott,Iowa Route,461,No Travel Direction Consistent with Route,Mainline,Not reported,IA 461/BRADY ST & E 53RD ST,Iowa Route,IA Route - Municipal,Property Damage Only,10000,Ran off road - left,Alcohol (Statutory),27,>= 25 and <= 29,Female
20191112631,W19-036813,20190510,4706793,554003,16:50,Friday,Black Hawk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,COLUMBIA ST,Municipal Road,Not Indicated as an Intersection,Suspected Minor Injury Crash,0,Unknown,Refused,34,>= 30 and <= 34,Male
20191112636,19077690,20190511,4613640,631010,07:04,Saturday,Johnson,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,LOWER WEST BRANCH RD,Secondary Road,Not Indicated as an Intersection,Suspected Minor Injury Crash,10000,Driving too fast for conditions,Alcohol (Statutory),20,= 20,Male
20191112653,19-009350,20190511,4571846,258414,16:04,Saturday,Pottawattamie,US Route,6,Eastbound (EB),Mainline,Not reported,US 6/W BROADWAY,US Route,Not Indicated as an Intersection,Property Damage Only,4000,Followed too close,Alcohol (Statutory),53,>= 50 and <= 54,Male
20191112653,19-009350,20190511,4571846,258414,16:04,Saturday,Pottawattamie,US Route,6,Eastbound (EB),Mainline,Not reported,US 6/W BROADWAY,US Route,Not Indicated as an Intersection,Property Damage Only,4000,Followed too close,Alcohol (Statutory),41,>= 40 and <= 44,Male
20191112660,19017916,20190510,4596346,671164,14:11,Friday,Muscatine,US Route,61,Both North and South,Mainline,Not reported,US 61,US Route,Not Indicated as an Intersection,Property Damage Only,2000,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),55,>= 55 and <= 59,Male
20191112660,19017916,20190510,4596346,671164,14:11,Friday,Muscatine,US Route,61,Both North and South,Mainline,Not reported,US 61,US Route,Not Indicated as an Intersection,Property Damage Only,2000,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),27,>= 25 and <= 29,Male
20191112660,19017916,20190510,4596346,671164,14:11,Friday,Muscatine,US Route,61,Both North and South,Mainline,Not reported,US 61,US Route,Not Indicated as an Intersection,Property Damage Only,2000,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),43,>= 40 and <= 44,Male
20191112670,MC1901612,20190426,4776897,484234,23:26,Friday,Cerro Gordo,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,7TH ST SE,Municipal Road,Not Indicated as an Intersection,Property Damage Only,11000,Lost control,Refused,34,>= 30 and <= 34,Female
20191112670,MC1901612,20190426,4776897,484234,23:26,Friday,Cerro Gordo,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,7TH ST SE,Municipal Road,Not Indicated as an Intersection,Property Damage Only,11000,Lost control,Refused,200,,Not reported
20191112710,2019012612,20190510,4508804,428781,03:00,Friday,Decatur,Interstate,35,Northbound (NB),Mainline,Not reported,I-35,Interstate,Not Indicated as an Intersection,Property Damage Only,2000,99,Alcohol (Statutory),19,= 19,Not reported
20191112710,2019012612,20190510,4508804,428781,03:00,Friday,Decatur,Interstate,35,Northbound (NB),Mainline,Not reported,I-35,Interstate,Not Indicated as an Intersection,Property Damage Only,2000,99,Alcohol (Statutory),70,>= 70 and <= 74,Male
20191112711,19-000493,20190504,4646708,445440,01:00,Saturday,Story,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,520TH AVE,Secondary Road,Not Indicated as an Intersection,Property Damage Only,20500,Ran off road - left,Under Influence of Alcohol/Drugs/Medications,21,>= 21 and <= 24,Male
20191112794,PD19-01124,20190510,4655645,508257,23:02,Friday,Marshall,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,E WOODBURY ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,5750,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),200,,Not reported
20191112794,PD19-01124,20190510,4655645,508257,23:02,Friday,Marshall,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,E WOODBURY ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,5750,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),200,,Not reported
20191112794,PD19-01124,20190510,4655645,508257,23:02,Friday,Marshall,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,E WOODBURY ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,5750,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),40,>= 40 and <= 44,Male
20191112836,2019-003407,20190511,4707441,689659,15:55,Saturday,Dubuque,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,BENNETT ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,6000,Ran off road - right,Alcohol (Statutory),25,>= 25 and <= 29,Not reported
20191112849,20190013968,20190512,4599544,449754,05:33,Sunday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,SE 8TH ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,7000,Operating vehicle in an reckless, erratic, careless, negligent manner,Under Influence of Alcohol/Drugs/Medications,31,>= 30 and <= 34,Male
20191112849,20190013968,20190512,4599544,449754,05:33,Sunday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,SE 8TH ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,7000,Operating vehicle in an reckless, erratic, careless, negligent manner,Under Influence of Alcohol/Drugs/Medications,200,,Not reported
20191112861,01626,20190511,4705154,655293,15:08,Saturday,Dubuque,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,BELTLINE RD,Municipal Road,Not Indicated as an Intersection,Possible/Unknown Injury Crash,14171,FTYROW:  Making left turn,Drug,79,>= 75 and <= 79,Male
20191112861,01626,20190511,4705154,655293,15:08,Saturday,Dubuque,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,BELTLINE RD,Municipal Road,Not Indicated as an Intersection,Possible/Unknown Injury Crash,14171,FTYROW:  Making left turn,Drug,31,>= 30 and <= 34,Male
20191112928,201904013,20190511,4658511,414939,16:45,Saturday,Boone,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,Co Rd P70/H AVE,Secondary Road,Not Indicated as an Intersection,Possible/Unknown Injury Crash,8500,Operating vehicle in an reckless, erratic, careless, negligent manner,Under Influence of Alcohol/Drugs/Medications,48,>= 45 and <= 49,Male
20191112946,2019004545,20190512,4612010,626776,05:51,Sunday,Johnson,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,Co Rd F46/AMERICAN LEGION RD,Secondary Road,Not Indicated as an Intersection,Property Damage Only,2600,Ran off road - straight,Alcohol (Statutory),29,>= 25 and <= 29,Male
20191112948,IF1903640,20190509,4707716,479043,22:13,Thursday,Hardin,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,ROCKSYLVANIA AVE,Municipal Road,Not Indicated as an Intersection,Property Damage Only,6000,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),23,>= 21 and <= 24,Female
20191112975,19-035239,20190505,4711756,560050,01:00,Sunday,Black Hawk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,E BIG ROCK RD,Secondary Road,Not Indicated as an Intersection,Property Damage Only,10000,Ran off road - right,Alcohol (Statutory),23,>= 21 and <= 24,Female
20191112986,19027268,20190407,4703670,545556,17:30,Sunday,Black Hawk,Iowa Route,27,No Travel Direction Consistent with Route,Mainline,Not reported,IA 27 & W VIKING RD & E VIKING RD,Iowa Route,IA Route - Municipal,Property Damage Only,14000,Lost control,Alcohol (Statutory),33,>= 30 and <= 34,Male
20191113029,19-02467,20190513,4604514,434107,22:08,Monday,Dallas,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,VISTA DR & 60TH ST,Municipal Road,Municipal - Municipal,Property Damage Only,10000,FTYROW:  Making left turn,Alcohol (Statutory),30,>= 30 and <= 34,Male
20191113029,19-02467,20190513,4604514,434107,22:08,Monday,Dallas,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,VISTA DR & 60TH ST,Municipal Road,Municipal - Municipal,Property Damage Only,10000,FTYROW:  Making left turn,Alcohol (Statutory),28,>= 25 and <= 29,Female
20191113087,2019012119,20190505,4612101,456874,11:42,Sunday,Polk,Interstate,80,Ramp,Ramp,Not reported,I-80,Interstate,Not Indicated as an Intersection,Property Damage Only,18000,Ran off road - right,Alcohol (Statutory),56,>= 55 and <= 59,Male
20191113087,2019012119,20190505,4612101,456874,11:42,Sunday,Polk,Interstate,80,Ramp,Ramp,Not reported,I-80,Interstate,Not Indicated as an Intersection,Property Damage Only,18000,Ran off road - right,Alcohol (Statutory),37,>= 35 and <= 39,Male
20191113101,S19-001287,20190512,4598218,258468,02:31,Sunday,Pottawattamie,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,On underpass,Co Rd G12/DESOTA AVE & Co Rd L20/OLD LINCOLN HWY,Secondary Road,Secondary - Secondary,Property Damage Only,3000,Ran off road - right,Alcohol (Statutory),22,>= 21 and <= 24,Female
20191113114,2019012781,20190512,4645847,535972,18:07,Sunday,Tama,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,5TH ST & PERSHING ST,Municipal Road,Municipal - Municipal,Suspected Minor Injury Crash,7500,Exceeded authorized speed,Refused,53,>= 50 and <= 54,Male
20191113114,2019012781,20190512,4645847,535972,18:07,Sunday,Tama,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,5TH ST & PERSHING ST,Municipal Road,Municipal - Municipal,Suspected Minor Injury Crash,7500,Exceeded authorized speed,Refused,24,>= 21 and <= 24,Male
20191113114,2019012781,20190512,4645847,535972,18:07,Sunday,Tama,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,5TH ST & PERSHING ST,Municipal Road,Municipal - Municipal,Suspected Minor Injury Crash,7500,Exceeded authorized speed,Refused,26,>= 25 and <= 29,Male
20191113118,19-037257,20190212,4706584,550940,02:20,Tuesday,Black Hawk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,RAINBOW DR,Municipal Road,Not Indicated as an Intersection,Property Damage Only,6500,Ran off road - right,Alcohol (Statutory),33,>= 30 and <= 34,Female
20191113119,19-4861,20190503,4787557,245071,00:30,Friday,Sioux,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,Co Rd K52/HICKORY AVE,Secondary Road,Not Indicated as an Intersection,Possible/Unknown Injury Crash,11500,Ran off road - right,Alcohol (Statutory),37,>= 35 and <= 39,Male
20191113204,20190014251,20190514,4604590,448573,23:23,Tuesday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,ROBERT D RAY DR,Municipal Road,Not Indicated as an Intersection,Property Damage Only,1500,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),49,>= 45 and <= 49,Female
20191113204,20190014251,20190514,4604590,448573,23:23,Tuesday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,ROBERT D RAY DR,Municipal Road,Not Indicated as an Intersection,Property Damage Only,1500,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),200,,Not reported
20191113269,19003451,20190511,4804068,504861,18:23,Saturday,Mitchell,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,HWY 105,Secondary Road,Not Indicated as an Intersection,Property Damage Only,10000,Driving too fast for conditions,Alcohol (Statutory),68,>= 65 and <= 69,Male
20191113289,201907544,20190512,4642522,610706,03:58,Sunday,Linn,US Route,30,Westbound (WB),Mainline,Not reported,US 30/LINCOLN FWY,US Route,Not Indicated as an Intersection,Property Damage Only,2915,Traveling wrong way or on wrong side of road,Alcohol (Statutory),26,>= 25 and <= 29,Female
20191113303,ACSO-19-1460,20190508,4785588,638306,22:22,Wednesday,Allamakee,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,MAIN ST,Secondary Road,Not Indicated as an Intersection,Property Damage Only,30100,Operating vehicle in an reckless, erratic, careless, negligent manner,Under Influence of Alcohol/Drugs/Medications,46,>= 45 and <= 49,Male
20191113378,191978,20190511,4654319,304985,23:33,Saturday,Crawford,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,BROADWAY & S MAIN ST & N MAIN ST,Municipal Road,Municipal - Municipal,Property Damage Only,12378,Other,Refused,21,>= 21 and <= 24,Female
20191113418,3-19-444,20190515,4680061,327538,21:16,Wednesday,Sac,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,Co Rd D59/370TH ST & Co Rd M64/NEEDHAM AVE & S CENTER ST,Secondary Road,Secondary - Municipal,Property Damage Only,15000,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),29,>= 25 and <= 29,Female
20191113426,2019-001401,20190514,4706126,686628,02:43,Tuesday,Dubuque,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,ENGLISH MILL RD,Secondary Road,Not Indicated as an Intersection,Suspected Minor Injury Crash,20000,Ran off road - straight,Alcohol (Statutory),68,>= 65 and <= 69,Female
20191113457,19-13706,20190511,4614406,502459,03:30,Saturday,Jasper,Interstate,80,Westbound (WB),Mainline,Not reported,I-80,Interstate,Not Indicated as an Intersection,Property Damage Only,10594,Ran off road - left,Alcohol (Statutory),23,>= 21 and <= 24,Male
20191113489,19-12353,20190511,4600361,706505,13:27,Saturday,Scott,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,HOLMES ST & 6TH ST,Municipal Road,Municipal - Municipal,Property Damage Only,56250,Ran off road - left,Refused,62,>= 60 and <= 64,Male
20191113622,S19-6695,20190516,4679505,256318,16:34,Thursday,Woodbury,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,KNOX AVE,Secondary Road,Not Indicated as an Intersection,Suspected Minor Injury Crash,9000,Lost control,Alcohol (Statutory),26,>= 25 and <= 29,Female
20191113667,20190014411,20190516,4607507,441466,10:30,Thursday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,62ND ST,Municipal Road,Not Indicated as an Intersection,Suspected Minor Injury Crash,15000,Lost control,Alcohol (Statutory),200,,Not reported
20191113667,20190014411,20190516,4607507,441466,10:30,Thursday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,62ND ST,Municipal Road,Not Indicated as an Intersection,Suspected Minor Injury Crash,15000,Lost control,Alcohol (Statutory),27,>= 25 and <= 29,Male
20191113695,20190014525,20190517,4603100,450242,07:53,Friday,Polk,US Route,69,Northbound (NB),Mainline,Not reported,US 69/SE 14TH ST & HARRIET ST,US Route,US Route - Municipal,Property Damage Only,6705,Driver Distraction:  Other interior distraction,Alcohol (Statutory),27,>= 25 and <= 29,Male
20191113695,20190014525,20190517,4603100,450242,07:53,Friday,Polk,US Route,69,Northbound (NB),Mainline,Not reported,US 69/SE 14TH ST & HARRIET ST,US Route,US Route - Municipal,Property Damage Only,6705,Driver Distraction:  Other interior distraction,Alcohol (Statutory),27,>= 25 and <= 29,Male
20191113695,20190014525,20190517,4603100,450242,07:53,Friday,Polk,US Route,69,Northbound (NB),Mainline,Not reported,US 69/SE 14TH ST & HARRIET ST,US Route,US Route - Municipal,Property Damage Only,6705,Driver Distraction:  Other interior distraction,Alcohol (Statutory),47,>= 45 and <= 49,Female
20191113735,2019-39504,20190517,4600329,701655,03:06,Friday,Scott,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,GAINES ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,29000,Ran off road - right,Refused,44,>= 40 and <= 44,Not reported
20191113735,2019-39504,20190517,4600329,701655,03:06,Friday,Scott,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,GAINES ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,29000,Ran off road - right,Refused,200,,Not reported
20191113735,2019-39504,20190517,4600329,701655,03:06,Friday,Scott,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,GAINES ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,29000,Ran off road - right,Refused,200,,Not reported
20191113861,20190014765,20190519,4601799,452141,00:10,Sunday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,E HARTFORD AVE & SE 22ND ST,Municipal Road,Municipal - Municipal,Property Damage Only,10800,Lost control,Refused,30,>= 30 and <= 34,Male
20191113863,20190014773,20190519,4595783,447790,01:19,Sunday,Warren,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,SW 9TH ST,Municipal Road,Not Indicated as an Intersection,Possible/Unknown Injury Crash,3000,Exceeded authorized speed,Alcohol (Statutory),60,>= 60 and <= 64,Male
20191113863,20190014773,20190519,4595783,447790,01:19,Sunday,Warren,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,SW 9TH ST,Municipal Road,Not Indicated as an Intersection,Possible/Unknown Injury Crash,3000,Exceeded authorized speed,Alcohol (Statutory),18,= 18,Female
20191113882,19110,20190517,4583959,506982,02:20,Friday,Marion,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,MAIN ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,2050,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),49,>= 45 and <= 49,Female
20191113964,2019-15384,20190519,4577753,434801,19:33,Sunday,Warren,Interstate,35,Southbound (SB),Mainline,Not reported,I-35,Interstate,Not Indicated as an Intersection,Property Damage Only,2870,Operating vehicle in an reckless, erratic, careless, negligent manner,Refused,46,>= 45 and <= 49,Female
20191114011,S19-001345,20190518,4560912,265190,06:10,Saturday,Pottawattamie,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,Co Rd H10/BUNGE AVE,Secondary Road,Not Indicated as an Intersection,Suspected Minor Injury Crash,10100,Ran off road - right,Alcohol (Statutory),62,>= 60 and <= 64,Male
20191114011,S19-001345,20190518,4560912,265190,06:10,Saturday,Pottawattamie,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,Co Rd H10/BUNGE AVE,Secondary Road,Not Indicated as an Intersection,Suspected Minor Injury Crash,10100,Ran off road - right,Alcohol (Statutory),48,>= 45 and <= 49,Male
